emotion,video_link
Fear,https://www.youtube.com/watch?v=cWXjDb1tewo
Fear,https://www.youtube.com/watch?v=X4N5n70woR4
Fear,https://www.youtube.com/watch?v=g4Ixlfmc7dM
Fear,https://www.youtube.com/watch?v=mpB96wtmmgs
Fear,https://www.youtube.com/watch?v=I6MXazkYwW4
Fear,https://www.youtube.com/watch?v=AfusWGrw1GU
Fear,https://www.youtube.com/watch?v=m7sgXbvkvhY
Fear,https://www.youtube.com/watch?v=F3UgW8Jq_uA
Fear,https://www.youtube.com/watch?v=A7yrPYXPlIE
Fear,https://www.youtube.com/watch?v=zrurB6O5bf4
Fear,https://www.youtube.com/watch?v=M-TWGH6bLD8
Fear,https://www.youtube.com/watch?v=HNy4RkwCHTQ
Fear,https://www.youtube.com/watch?v=l_Gc0fJqP9Y
Fear,https://www.youtube.com/watch?v=IwU9XCdh49U
Fear,https://www.youtube.com/watch?v=o7MR9YGNucI
Fear,https://www.youtube.com/watch?v=-ltge9grJrE
Fear,https://www.youtube.com/watch?v=ndg9JmLbBdA
Fear,https://www.youtube.com/watch?v=EmST878gWwY
Fear,https://www.youtube.com/watch?v=lDD-9Nxfxls
Fear,https://www.youtube.com/watch?v=dHGxtGSnM7Q
Fear,https://www.youtube.com/watch?v=myJd9Hq_E7k
Fear,https://www.youtube.com/watch?v=59cIHG74sHs
Fear,https://www.youtube.com/watch?v=ijDPCMo6OkM
Fear,https://www.youtube.com/watch?v=isbfKLFurA8
Fear,https://www.youtube.com/watch?v=mifyiNbIwOI
Fear,https://www.youtube.com/watch?v=dooJa1ZudJQ
Fear,https://www.youtube.com/watch?v=xHfKvrDSoEE
Fear,https://www.youtube.com/watch?v=-fQXZC1STac
Fear,https://www.youtube.com/watch?v=BkngN4qYQbQ
Fear,https://www.youtube.com/watch?v=gahfqr3JFD4
Fear,https://www.youtube.com/watch?v=pLXUpqmFJ68
Fear,https://www.youtube.com/watch?v=FEu6bU233FM
Fear,https://www.youtube.com/watch?v=K_p412Fpymc
Fear,https://www.youtube.com/watch?v=Tvlzu4gRtmg
Fear,https://www.youtube.com/watch?v=XyTyDxzjl98
Fear,https://www.youtube.com/watch?v=534oezh0sQk
Fear,https://www.youtube.com/watch?v=j0SJmj03DpI
Fear,https://www.youtube.com/watch?v=T-nncBu82mM
Fear,https://www.youtube.com/watch?v=ZJaIM0sIlnQ
Fear,https://www.youtube.com/watch?v=ttbW_qcMK4o
Fear,https://www.youtube.com/watch?v=QAgmJGdndFc
Fear,https://www.youtube.com/watch?v=YmTFLU1au7g
Fear,https://www.youtube.com/watch?v=z2-eF_B2qNY
Fear,https://www.youtube.com/watch?v=xf137BCBq1k
Fear,https://www.youtube.com/watch?v=KzJNq-RiY1U
Fear,https://www.youtube.com/watch?v=WDlV6TZvnpo
Fear,https://www.youtube.com/watch?v=izkGeoVqc8w
Fear,https://www.youtube.com/watch?v=bXl05GH_jn0
Fear,https://www.youtube.com/watch?v=SXi7yOp9CM4
Fear,https://www.youtube.com/watch?v=CKMGgleFfBo
Fear,https://www.youtube.com/watch?v=UI0OAKJIeCU
Fear,https://www.youtube.com/watch?v=YYygw0E3bqY
Fear,https://www.youtube.com/watch?v=VUrgd9l83OM
Fear,https://www.youtube.com/watch?v=MV5qYgi2Smo
Fear,https://www.youtube.com/watch?v=uTsDZeVnfa4
Fear,https://www.youtube.com/watch?v=peLNn0immvM
Fear,https://www.youtube.com/watch?v=N6UN14wmOvc
Fear,https://www.youtube.com/watch?v=txQxTYvSsJ4
Fear,https://www.youtube.com/watch?v=d9dz3mrhJkw
Fear,https://www.youtube.com/watch?v=oHJKRzKuSpI
Fear,https://www.youtube.com/watch?v=e2BL8jf3WtQ
Fear,https://www.youtube.com/watch?v=e5CwQTL4dIY
Fear,https://www.youtube.com/watch?v=xza5tbboKMc
Fear,https://www.youtube.com/watch?v=-n609vlGgBk
Fear,https://www.youtube.com/watch?v=5iQV1n1Xr2Q
Fear,https://www.youtube.com/watch?v=eyVQxEYE6Vk
Fear,https://www.youtube.com/watch?v=H7s_uRgE5rU
Fear,https://www.youtube.com/watch?v=gSYu5FH8W-I
Fear,https://www.youtube.com/watch?v=MRSc8IPKIek
Fear,https://www.youtube.com/watch?v=vlmNbA9_XhI
Fear,https://www.youtube.com/watch?v=o2GyUNicQfE
Fear,https://www.youtube.com/watch?v=VOpTk4ymji8
Fear,https://www.youtube.com/watch?v=w8fwOnvYVwI
Fear,https://www.youtube.com/watch?v=tBTrlD7EktA
Fear,https://www.youtube.com/watch?v=b_fSHYBKRa8
Fear,https://www.youtube.com/watch?v=ejo5BEKkTYE
Fear,https://www.youtube.com/watch?v=STmxyyB4_84
Fear,https://www.youtube.com/watch?v=Y3sF2uAmfYM
Fear,https://www.youtube.com/watch?v=wRNf9pEEt_s
Fear,https://www.youtube.com/watch?v=4PxoPdRFrBo
Fear,https://www.youtube.com/watch?v=Ce1KVYW_E4M
Fear,https://www.youtube.com/watch?v=57ogjiLgIRI
Fear,https://www.youtube.com/watch?v=rV7j_km6ICc
Fear,https://www.youtube.com/watch?v=F6QM3gkHn5E
